id,text,user_name,user_location,sentiment,created,housemate
117,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,chiss_my,,NA,2017-01-20T05:29:35,No name
118,RT @CBigBrotherUK: When your mum gets back from work and starts shouting #CBB https://t.co/SWcIpkWFZi,lizziechapmanx,"Newcastle Upon Tyne, England",NA,2017-01-20T05:29:57,No name
119,"RT @leboutique3: These big brother memes are funny_Ÿ˜©_Ÿ˜‚#bigbrother #cbb #cbbuk #cbbukkim #cbbmemes #funny #funnymemeâ€_ ",Gagm3post,United States,NA,2017-01-20T05:30:09,No name
120,"@bbuk #JedwardCBB may be annoying to the rest in the house, but I find them funny and entertaining! Luv them! #cbb _Ÿ˜‚_Ÿ‘è_Ÿè_âù_ï¸è",beutyfulkrazy,Orange County ,NA,2017-01-20T05:30:23,No name
121,RT @Chloe_GShore: AWKWAAAAAAARD _Ÿ™ˆ_Ÿ˜_ #CBB #CBBChloe,_ChloeGShore,Instagram : ChloeGShore1,NA,2017-01-20T05:30:32,No name
122,Jessica is starting to get on my nerves crying all time fuck of #cbbuk,jkstrangelove,United States,NA,2017-01-20T05:30:33,No name
123,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,kwallingford10,,NA,2017-01-20T05:30:41,No name
124,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,queenFelysia,,NA,2017-01-20T05:30:43,No name
126,RT @planetjedward: We should have a presidential election in the house! After all we did perform and hangout with Barack Obama!â€_ ,wendydcoe,"Missouri, USA",NA,2017-01-20T11:12:51,No name
127,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,Rana_aigh,,NA,2017-01-20T11:12:52,No name
129,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,PaulNicocoach7,,NA,2017-01-20T11:12:57,No name
130,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,Leotama24,East St.Louis,NA,2017-01-20T11:12:59,No name
131,RT @Daily_Star: CBB's Jessica Cunningham's 'boyfriend' speaks out #CBB https://t.co/8hVlOveYWw https://t.co/Ujct8edHEv,marekingu,ç§‹ç”°çœŒ ç”·é_¿å¸‚,NA,2017-01-20T11:13:02,No name
132,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,skarrlewalrus,"Middleport, OH",NA,2017-01-20T11:13:02,No name
133,RT @brandooncotton: When your mum comes home and starts shouting #CBB https://t.co/MZq9bjDph4,JackMcArdle,"Sheffield, England",NA,2017-01-20T11:13:01,No name
134,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,PlstolPeteLever,"SC, QLD, AU",NA,2017-01-20T11:13:09,No name
135,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,b4rbaqued,IL,NA,2017-01-20T11:13:11,No name
136,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,ohheyiukey,i love simran #sexi â™¡,NA,2017-01-20T11:13:13,No name
137,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,Endeav0urCNH,Australia,NA,2017-01-20T11:13:17,No name
138,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,hltlabteam,Montreal,NA,2017-01-20T11:13:18,No name
139,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,JeanneVaijeanne,,NA,2017-01-20T11:13:19,No name
140,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,rub3xpube,big bad bfd,NA,2017-01-20T11:13:20,No name
141,RT @MeOnTheTelly: This whole series of #CBB in one single meme https://t.co/QIUMOtvPMw,Arron_Newton,London,NA,2017-01-20T11:13:20,No name
142,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,JacobRlicho,,NA,2017-01-20T11:13:23,No name
143,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,olivia_love90,,NA,2017-01-20T11:13:27,No name
144,RT @bbuk: Hands up who has completed their morning work out? @TheProdigalFox has. Go girl. _Ÿ’ª#CBB https://t.co/5YYRzT84fa,jessfergus0nx,durham ,NA,2017-01-20T11:13:29,No name
